Nom;Nombre de dauts Roule;Poids des dauts Roule;Plus gros daut Roule;Poids des Dauts Tes;Classe
B340;0;0;0;0;1
B401;0;0;0;0;1
B402;0;0;0;0;1
B373;4;38;18;0;1
B378;4;56;24;9;1
B403;4;32;10;7;1
B404;4;29;8;7;1
B405;5;56;18;0;1
B355;6;46;9;6;1
B370;6;52;12;0;1
B406;6;44;10;6;1
B344;7;64;17;0;1
B400;7;51;9;8;1
B407;7;100;35;0;1
B408;7;84;18;0;1
B316;8;104;21;12;1
B331;8;84;22;6;1
B343;8;71;22;0;1
B409;8;73;15;15;1
B410;8;101;24;6;1
B411;8;106;34;9;1
B412;8;94;36;6;1
B304;9;119;22;14;1
B315;9;82;15;12;1
B326;9;100;27;27;1
B338;9;61;8;6;1
B346;9;106;19;11;1
B347;9;94;19;8;1
B415;9;90;17;0;1
B416;9;106;21;0;1
B417;9;132;29;36;1
B418;9;96;14;6;1
B301;10;120;24;16;1
B327;10;119;18;17;1
B375;10;92;20;0;1
B382;10;110;19;7;1
B388;10;112;25;0;1
B391;10;82;13;21;1
B419;10;99;19;6;1
B420;10;117;23;36;1
B421;10;93;25;9;1
B325;11;113;20;0;1
B342;11;96;25;0;1
B363;11;88;13;8;1
B376;11;85;14;19;1
B422;11;101;14;19;1
B423;11;96;14;0;1
B424;11;114;31;0;1
B425;11;139;22;21;1
B305;12;158;36;0;1
B395;12;135;24;11;1
B428;12;120;22;6;1
B429;12;152;39;0;1
B318;13;157;35;16;1
B320;13;138;17;0;1
B321;13;133;23;0;1
B348;13;102;14;14;1
B366;13;129;19;0;1
B368;13;138;38;8;1
B386;13;124;15;33;1
B398;13;128;19;0;1
B430;13;109;17;7;1
B431;13;148;20;6;1
B432;13;136;20;9;1
B433;13;129;25;28;1
B434;13;137;22;6;1
B435;13;138;21;22;1
B309;14;129;17;0;1
B310;14;135;19;27;1
B324;14;128;15;0;1
B329;14;166;38;49;1
B336;14;142;22;0;1
B337;14;197;40;7;1
B350;14;141;20;0;1
B371;14;170;28;0;1
B384;14;169;28;28;1
B438;14;103;10;0;1
B439;14;139;30;0;1
B440;14;130;19;6;1
B441;14;126;23;0;1
B442;14;122;17;15;1
B443;14;117;19;7;1
B444;14;139;39;0;1
B445;14;140;19;0;1
B362;15;150;22;15;1
B446;15;209;27;24;1
B447;15;128;14;17;1
B448;15;154;24;23;1
B449;15;142;19;0;1
B450;15;139;15;11;1
B332;16;192;28;26;1
B359;16;197;30;54;1
B360;16;164;25;0;1
B381;16;165;22;0;1
B385;16;138;22;6;1
B387;16;137;17;9;1
B453;16;154;18;0;1
B454;16;175;24;37;1
B455;16;162;24;14;1
B456;16;153;30;12;1
B457;16;140;17;9;1
B458;16;164;22;0;1
B314;17;180;19;19;1
B330;17;205;37;0;1
B333;17;170;24;13;1
B351;17;208;30;0;1
B364;17;180;21;0;1
B393;17;184;30;36;1
B460;17;166;30;45;1
B461;17;149;19;7;1
B462;17;215;25;0;1
B463;17;190;25;47;1
B464;17;167;23;10;1
B328;18;167;24;21;1
B469;18;158;19;55;1
B470;18;203;23;18;1
B471;18;171;16;12;1
B472;18;180;26;0;1
B473;18;142;15;27;1
B474;18;167;17;6;1
B308;19;235;44;6;1
B313;19;195;29;21;1
B323;19;187;17;25;1
B339;19;170;16;9;1
B353;19;217;28;50;1
B361;19;161;22;7;1
B394;19;192;21;28;1
B479;19;173;23;8;1
B480;19;220;23;0;1
B481;19;204;20;57;1
B482;19;211;30;0;1
B335;20;175;17;6;1
B365;20;195;32;22;1
B380;20;234;30;18;1
B383;20;239;39;39;1
B486;20;216;29;24;1
B487;20;193;20;28;1
B488;20;194;23;21;1
B489;20;198;17;30;1
B490;20;204;25;0;1
B491;20;184;19;15;1
B492;20;183;16;22;1
B493;20;215;30;0;1
B306;21;214;24;27;1
B317;21;278;51;138;1
B352;21;170;16;27;1
B369;21;233;46;52;1
B496;21;224;20;0;1
B497;21;196;19;19;1
B498;21;228;25;9;1
B499;21;185;18;16;1
B500;21;258;44;12;1
B501;21;212;21;10;1
B502;21;202;18;0;1
B311;22;304;39;111;1
B367;22;223;25;13;1
B389;22;210;17;38;1
B506;22;229;27;0;1
B507;22;226;27;0;1
B508;22;234;28;19;1
B509;22;231;25;75;1
B302;23;236;39;0;1
B334;23;247;28;45;1
B356;23;236;30;30;1
B515;23;256;30;23;1
B307;24;230;25;25;1
B358;24;314;41;45;1
B392;24;303;34;14;1
B521;24;214;17;30;1
B522;24;263;23;0;1
B523;24;297;43;12;1
B319;25;308;28;64;1
B357;25;255;23;15;1
B379;25;299;36;72;1
B533;25;256;26;63;1
B534;25;305;33;86;1
B535;25;249;29;17;1
B354;26;252;29;47;1
B399;26;226;23;7;1
B543;26;270;30;72;1
B312;27;261;33;19;1
B349;27;324;52;6;1
B374;27;387;49;83;1
B390;27;268;25;23;1
B546;27;260;17;14;1
B341;28;287;33;28;1
B303;29;262;24;16;1
B563;29;274;19;37;1
B396;31;327;27;27;1
B583;31;284;16;19;1
B584;31;416;40;14;1
B585;31;344;33;111;1
B345;32;389;49;8;1
B372;32;289;18;35;1
B588;32;298;20;8;1
B322;33;336;27;21;1
B602;34;352;21;25;1
B618;36;454;31;63;1
B619;36;379;36;79;1
B634;37;388;24;16;1
B377;40;391;24;63;1
B397;42;424;24;56;1
B250;9;95;26;6;2
B413;9;170;76;0;2
B414;9;154;51;0;2
B289;11;111;14;0;2
B245;12;122;27;18;2
B426;12;175;28;53;2
B427;12;134;21;0;2
B237;13;201;37;57;2
B293;13;175;36;72;2
B221;14;190;68;14;2
B256;14;150;23;0;2
B436;14;177;30;20;2
B437;14;161;21;13;2
B259;15;221;46;0;2
B287;15;193;53;44;2
B260;16;174;29;30;2
B264;16;228;39;38;2
B290;16;206;33;15;2
B452;16;284;46;95;2
B247;17;284;115;115;2
B459;17;356;44;48;2
B228;18;216;34;66;2
B252;18;312;50;28;2
B465;18;209;33;32;2
B466;18;177;16;24;2
B467;18;410;184;199;2
B468;18;237;31;44;2
B212;19;202;20;20;2
B233;19;252;45;36;2
B295;19;234;24;11;2
B475;19;240;36;44;2
B476;19;219;22;27;2
B477;19;209;25;43;2
B478;19;251;42;7;2
B206;20;316;47;21;2
B255;20;247;48;49;2
B294;20;235;27;0;2
B296;20;203;21;8;2
B483;20;205;17;48;2
B484;20;296;41;28;2
B485;20;264;34;33;2
B204;21;303;50;59;2
B224;21;253;68;6;2
B235;21;250;41;8;2
B238;21;299;43;29;2
B257;21;259;33;21;2
B494;21;269;43;26;2
B495;21;284;34;0;2
B254;22;309;30;30;2
B503;22;337;66;66;2
B504;22;269;36;19;2
B505;22;260;29;23;2
B203;23;293;58;23;2
B210;23;292;36;26;2
B215;23;277;55;76;2
B229;23;316;34;17;2
B258;23;251;27;15;2
B511;23;253;25;47;2
B512;23;326;51;68;2
B513;23;301;50;39;2
B514;23;257;39;0;2
B213;24;320;36;24;2
B234;24;336;42;26;2
B239;24;257;29;12;2
B249;24;307;44;7;2
B265;24;322;50;95;2
B268;24;316;61;43;2
B519;24;247;28;34;2
B520;24;345;53;67;2
B227;25;297;40;0;2
B273;25;260;26;0;2
B283;25;274;25;32;2
B297;25;253;25;23;2
B526;25;310;58;103;2
B527;25;327;54;84;2
B528;25;307;46;51;2
B529;25;255;41;26;2
B530;25;403;41;41;2
B531;25;249;28;0;2
B532;25;324;28;49;2
B201;26;275;25;30;2
B253;26;360;32;16;2
B263;26;323;40;42;2
B269;26;357;52;78;2
B538;26;267;23;36;2
B539;26;239;27;10;2
B540;26;313;39;0;2
B541;26;293;28;32;2
B542;26;318;31;11;2
B217;27;339;45;13;2
B218;27;358;35;49;2
B232;27;395;44;64;2
B241;27;336;44;19;2
B246;27;263;25;32;2
B544;27;322;46;13;2
B545;27;286;37;17;2
B223;28;390;52;25;2
B225;28;334;34;6;2
B277;28;352;28;44;2
B285;28;470;51;6;2
B550;28;339;29;61;2
B551;28;393;45;74;2
B552;28;382;45;145;2
B553;28;357;28;39;2
B554;28;375;54;136;2
B243;29;396;34;6;2
B278;29;310;31;41;2
B280;29;389;31;20;2
B557;29;345;51;10;2
B558;29;342;54;36;2
B559;29;381;38;19;2
B560;29;360;42;0;2
B561;29;297;40;46;2
B562;29;360;39;39;2
B211;30;442;44;110;2
B222;30;476;65;52;2
B236;30;385;71;15;2
B567;30;471;124;36;2
B568;30;435;56;73;2
B569;30;325;36;38;2
B570;30;392;39;109;2
B571;30;430;59;112;2
B572;30;316;41;34;2
B573;30;350;34;24;2
B574;30;355;33;0;2
B220;31;443;56;126;2
B230;31;459;60;64;2
B266;31;472;83;89;2
B276;31;423;32;32;2
B579;31;470;44;37;2
B580;31;372;27;34;2
B581;31;383;26;9;2
B582;31;404;63;34;2
B208;32;367;37;24;2
B251;32;462;37;53;2
B262;32;341;32;43;2
B270;32;403;34;46;2
B586;32;482;54;48;2
B587;32;366;30;70;2
B209;33;367;48;6;2
B272;33;373;23;23;2
B594;33;453;39;61;2
B595;33;492;54;36;2
B214;34;422;36;29;2
B275;34;486;42;74;2
B291;34;376;31;70;2
B599;34;436;47;45;2
B600;34;430;43;101;2
B601;34;418;36;26;2
B226;35;496;37;85;2
B282;35;529;52;54;2
B606;35;424;36;69;2
B607;35;419;39;47;2
B608;35;427;59;102;2
B609;35;416;43;26;2
B610;35;399;27;8;2
B611;35;389;33;26;2
B300;36;459;56;80;2
B615;36;452;67;126;2
B616;36;412;33;44;2
B617;36;441;37;89;2
B219;37;460;30;50;2
B279;37;465;29;43;2
B281;37;447;39;33;2
B284;37;515;72;13;2
B631;37;446;41;41;2
B632;37;417;31;51;2
B633;37;489;59;64;2
B202;38;466;38;45;2
B231;38;438;31;34;2
B267;38;477;46;65;2
B248;39;566;59;83;2
B271;39;466;36;89;2
B274;39;444;43;13;2
B286;39;480;76;88;2
B642;39;473;29;67;2
B643;39;461;28;21;2
B644;39;495;33;26;2
B645;39;510;58;199;2
B646;39;533;59;69;2
B244;40;428;30;27;2
B652;40;519;57;139;2
B653;40;467;40;64;2
B298;41;468;64;11;2
B261;42;497;28;76;2
B292;42;497;50;98;2
B299;42;393;28;20;2
B666;42;482;30;53;2
B671;43;443;34;16;2
B242;44;466;23;8;2
B677;44;514;31;30;2
B678;44;583;44;53;2
B240;45;596;41;54;2
B205;46;541;40;26;2
B288;47;595;28;68;2
B693;47;606;46;67;2
B711;49;526;28;36;2
B712;49;565;27;111;2
B207;50;582;28;98;2
B216;52;619;115;135;2
B517;24;490;58;0;3
B518;24;553;79;10;3
B537;26;443;36;127;3
B106;27;498;71;75;3
B160;27;675;90;22;3
B142;28;492;79;7;3
B184;28;499;54;39;3
B548;28;570;115;21;3
B549;28;482;57;64;3
B555;29;672;128;216;3
B556;29;521;67;54;3
B566;30;716;109;217;3
B139;31;707;111;129;3
B577;31;578;113;119;3
B578;31;525;115;123;3
B167;33;464;66;146;3
B190;33;462;41;37;3
B200;33;620;125;125;3
B591;33;453;36;43;3
